N_01,N_02,N_03,N_04,N_05,N_06_A,N_06_B,N_06_C,N_07,N_08,N_09,N_09_TEXTO,N_10_A,N_10_B,N_10_C,N_10_D,N_10_E,N_10_F,N_10_G,N_10_H,N_10_I,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,27872,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,28254,1,1,1
9,9,,,,,,,,,,,,,,,,,,,,28705,1,1,1
3,1,1,2,,,,,,,15000,QUINCE MIL PESOS,,,,1,,,,,,28993,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,29254,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,29784,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,29974,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,30448,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,30619,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,31098,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,31523,6,1,6
3,1,2,2,,,,,,,20000,VIENTE MIL PESOS,,,,1,,,,,,31649,2,1,2
3,1,1,2,,,,,,,8000,ES REGALADA,,,,1,,,,,,31888,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,32028,1,1,1
1,1,2,1,1,1,,,1,2,30000,TRENTAMIL PESOS,,,,1,,,,,,32553,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,32736,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,33313,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,33394,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,33654,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,34688,4,1,4
3,1,2,1,1,1,,,1,1,30000,TREINTA MIL,,,,,1,,,,,34718,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,34878,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,35671,1,1,1
3,1,2,2,,,,,,,20000,VEINTE MIL PESOS,,,,,,,,,1,36103,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,36151,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,36182,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,36530,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,36830,1,1,1
3,1,2,1,1,,1,,,1,12000,doce mil,,,,1,,,,,,37025,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,37043,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,37090,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,37359,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,38123,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,38535,4,1,4
2,1,2,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,,,,38801,2,1,2
3,1,2,1,1,,1,,,1,50000,CINCUENTA MIL PESOS,,,,,,1,,,,38814,1,1,1
3,1,1,2,,,,,,,8000,OCHO MIL PESOS,,,,1,,,,,,38827,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,38906,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,39418,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,39577,2,1,2
3,1,2,1,1,1,,,1,2,10000,DIEZ MIL,,,,1,,,,,,40541,1,1,1
