M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_08_VALOR,M_08_TEXTO,M_09_A,M_09_B,M_09_C,M_09_D,M_09_E,M_09_F,M_09_G,M_09_H,M_09_I,M_10_A,M_10_B,M_10_C,M_10_D,M_10_E,M_10_F,M_10_G,M_10_H,M_10_I,M_10_J,M_10_K,M_10_L,M_10_M,M_10_N,M_10_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13406,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13547,2,1,2
3,1,1,2,,,4,1,1000,MIL PESOS,,,1,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14295,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15021,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15101,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15341,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15561,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16640,1,1,1
3,1,5,1,30,20000,1,1,5000,CINCO MIL PESOS,,,1,1,,,,,,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,17159,3,1,3
3,1,5,1,30,80000,60,1,4000,CUATRO MIL,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17933,3,1,3
3,1,4,1,12,10000,12,1,1000,MIL PESOS COLOMBIANOS,,,,,,1,,,,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,18012,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18124,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18423,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18735,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19179,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19329,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19376,1,1,1
3,1,2,2,,,2,1,4000,CUATRO MIL PESOS,,,,1,,,,,,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,19396,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19586,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19634,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20032,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20368,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20465,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20604,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20638,1,1,1
3,1,3,2,,,3,2,,,,,,1,,,,,,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,20689,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20777,1,1,1
3,1,2,2,,,5,1,4000,CUATRO MIL PESOS,,,1,1,,,,,,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,20812,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21299,1,1,1
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21715,1,1,1
2,1,4,2,,,10,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,21767,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21881,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22065,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22131,6,1,6
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22334,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22610,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22758,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22822,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22887,1,1,1
3,1,2,2,,,4,1,3000,TRES MIL PESOS,,,1,,,,,,,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,23128,1,1,1
3,1,4,1,5,10000,5,1,2000,DOS MIL PESOS,,,1,1,,,,,,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,23135,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23432,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23597,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23727,3,1,3
1,1,2,2,,,1,2,,,,,,1,,,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,23863,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24037,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24316,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24326,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24606,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25078,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25173,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25209,1,1,1
