SEXO,EDAD,PARENTESCO,PADRE,MADRE,CONSENTIMIENTO,RESULTADO,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C
1,36,1,2,2,1,1,23507,1,1,1,1572.172510317929
2,42,2,2,2,1,1,23508,2,1,2,360.0270804717609
2,40,2,2,2,1,1,23509,2,1,2,878.4436588478885
2,27,2,1,2,1,1,23511,2,1,2,226.573674973573
2,30,3,1,1,1,1,23512,4,1,4,1475.980004246203
1,39,1,2,2,1,1,23513,1,1,1,2167.062642369021
1,33,1,2,2,1,1,23514,1,1,1,256.9861614304347
2,36,7,3,3,1,1,23515,2,1,2,606.5902593043782
1,50,1,3,3,1,1,23516,1,1,1,1001.994658191252
2,56,1,1,3,1,1,23517,1,1,1,161.437125748503
2,32,2,2,2,1,1,23519,2,1,2,335.2958046843402
1,21,3,1,1,1,1,23520,3,1,3,101.3611967229424
1,35,1,2,2,1,1,23521,1,1,1,1048.115006878619
1,50,1,2,2,1,1,23522,1,1,1,16.49920085242409
2,16,3,1,1,1,1,23523,3,1,3,588.4547926031605
2,34,2,2,2,1,1,23524,2,1,2,284.1098737202059
2,47,1,2,2,1,1,23525,1,1,1,639.1578947368422
1,52,1,3,2,1,1,23527,1,1,1,722.9483521888835
1,30,3,2,1,1,1,23528,4,1,4,506.4014582811939
2,34,2,2,2,1,1,23529,2,1,2,469.7160649418044
1,22,3,2,1,1,1,23530,3,1,3,440.8058661365336
1,50,4,3,2,1,1,23531,4,1,4,805.5689835848144
2,51,2,2,1,1,1,23532,2,1,2,546.3675709119213
2,49,1,3,3,1,1,23533,1,1,1,699.5563756298835
2,47,1,2,2,1,1,23535,1,1,1,181.2940071867952
2,52,1,3,3,1,1,23536,1,1,1,159.363202082163
2,33,2,2,2,1,1,23537,2,1,2,364.9412703981033
2,56,1,2,2,1,1,23538,1,1,1,114.9659073491477
2,18,3,1,2,1,1,23539,3,1,3,312.25
2,46,3,1,1,1,1,23540,3,1,3,351.2974077108069
2,30,2,2,2,1,1,23541,2,1,2,238.7519813047996
1,39,4,2,2,1,1,23544,3,1,3,495.7385758087524
2,38,2,2,2,1,1,23545,2,1,2,399.3755176456006
2,36,1,2,2,1,1,23546,1,1,1,108.8145277797353
2,28,1,2,2,1,1,23547,1,1,1,32.62782576732218
2,50,1,1,3,1,1,23548,1,1,1,318.8242010860845
1,40,1,2,3,1,1,23549,1,1,1,577.8122667033407
1,47,3,1,1,1,1,23550,3,1,3,81.35475578406168
2,52,4,2,3,1,1,23551,3,1,3,42.70241983718144
2,44,1,2,2,1,1,23552,1,1,1,287.1139239633025
2,42,1,2,2,1,1,23553,1,1,1,244.7890315728493
1,18,5,2,2,1,1,23554,3,1,3,122.1927165437196
2,20,3,2,1,1,1,23555,2,1,2,160.8821393937639
1,32,1,2,2,1,1,23556,1,1,1,203.2555659432656
2,24,2,2,2,1,1,23558,2,1,2,586.8029124900687
1,36,1,2,2,1,1,23559,1,1,1,1001.714285714286
1,49,1,3,3,1,1,23560,1,1,1,751.495993643439
2,44,1,3,3,1,1,23561,1,1,1,150.0112835299004
1,20,5,2,2,1,1,23562,2,1,2,1238.791280380857
1,49,2,3,3,1,1,23563,2,1,2,560.3880866380881
1,37,1,2,2,1,1,23564,1,1,1,9.490009951772187
1,26,1,3,2,1,1,23565,1,1,1,172.9829172141918
2,57,2,3,3,1,1,23567,2,1,2,592.049223771618
1,37,1,2,2,1,1,23568,1,1,1,189.4327252510008
2,27,2,2,2,1,1,23569,2,1,2,218.855982862733
1,47,1,2,2,1,1,23570,1,1,1,5.499733617474694
2,55,2,1,3,1,1,23571,2,1,2,328.5850909090909
2,34,2,3,2,1,1,23573,2,1,2,1232.991765094933
2,12,3,1,1,1,1,23574,3,1,3,588.4547926031605
1,25,3,1,1,1,1,23575,3,1,3,497.8524716973679
2,21,1,3,3,1,1,23576,1,1,1,35.28721512849523
2,42,2,3,2,1,1,23577,2,1,2,181.5343262025457
2,64,1,3,3,1,1,23578,1,1,1,552.6817348808797
1,17,3,2,1,1,1,23579,4,1,4,397.9999999999999
2,43,2,2,2,1,1,23580,2,1,2,330.0248237657808
1,50,3,1,1,1,1,23581,4,1,4,258.6441669103211
2,30,3,1,1,1,1,23582,3,1,3,1004.720938594505
2,30,7,2,2,1,1,23583,4,1,4,685.7451864275048
2,53,1,2,2,1,1,23584,1,1,1,278.9052631578948
2,54,1,2,3,1,1,23585,1,1,1,460.0635050348006
2,16,3,2,1,1,1,23586,2,1,2,309.453287330067
1,32,1,2,2,1,1,23587,1,1,1,165.8962389556547
2,54,1,3,3,1,1,23588,1,1,1,6.973769112077432
2,30,4,2,2,1,1,23589,3,1,3,467.6321571436715
1,51,1,2,2,1,1,23590,1,1,1,448.3104693104705
2,25,1,2,2,1,1,23591,1,1,1,43.80684811237929
1,33,7,2,2,1,1,23592,5,1,5,1455.356972870062
1,27,3,2,1,1,1,23593,2,1,2,2078.53315490496
1,39,1,2,2,1,1,23594,1,1,1,355.1363941073858
1,37,3,1,1,1,1,23595,3,1,3,129.8930227990266
1,43,1,2,2,1,1,23596,1,1,1,67.24574540503743
1,65,1,3,3,1,1,23597,1,1,1,442.9679555975983
1,35,2,3,2,1,1,23598,2,1,2,71.67793500572198
2,46,3,3,1,1,1,23599,2,1,2,79.80175715251183
2,53,1,2,2,1,1,23600,1,1,1,218.5470283647685
2,35,2,3,2,1,1,23601,2,1,2,166.4064656856669
1,36,1,3,2,1,1,23602,1,1,1,451.7605913410771
2,48,1,2,2,1,1,23603,1,1,1,305.5789848404918
1,20,3,2,1,1,1,23604,3,1,3,389.456708526107
2,29,2,2,2,1,1,23605,2,1,2,298.3153674062162
1,40,1,2,2,1,1,23606,1,1,1,177.5681970536929
2,50,2,2,2,1,1,23607,2,1,2,511.3263157894738
1,27,1,2,2,1,1,23608,1,1,1,1196.137771117549
2,42,1,1,1,1,1,23609,1,1,1,452.6651996227603
2,51,2,2,2,1,1,23610,2,1,2,328.5850909090909
2,18,3,1,1,1,1,23613,4,1,4,568.414952501652
2,18,2,2,2,1,1,23614,2,1,2,224.4742451706423
2,16,3,1,1,1,1,23615,3,1,3,24.62637362637362
