H_01,H_02_A,H_02_B,H_02_C,H_02_D,H_02_E,H_02_F,H_02_G,H_02_H,H_02_I,H_03,H_04,H_05,H_06_A,H_06_B,H_06_C,H_06_D,H_06_E,H_06_F,H_06_G,H_06_H,H_06_I,H_06_J,H_06_K,H_07,H_07_A,H_07_B,H_07_C,H_07_D,H_07_E,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,5310,3,1,3
2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,5356,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5403,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,5412,10,1,10
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5453,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,5577,1,1,1
3,1,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,5611,1,1,1
2,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,5622,4,1,4
3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,5690,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,5702,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,5876,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,5969,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,5974,5,1,5
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,6020,2,1,2
3,1,,,,1,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,6165,1,1,1
3,1,,,,,,,,,1,1,3,1,,,,,,,,,,,2,,,,,,6188,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,6296,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,6342,7,1,7
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,6386,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,6405,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,6438,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,6571,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,6657,2,1,2
2,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,6675,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,6679,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6809,2,1,2
3,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,6931,2,1,2
1,,,,,1,,,,,1,1,15,,,1,,,,,,,,,2,,,,,,6944,1,1,1
3,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,7054,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7225,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,7227,4,1,4
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,7265,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7271,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7389,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7466,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,7523,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7559,1,1,1
2,,,1,,,,,,,1,1,1,,,1,,,,,,,,,2,,,,,,7572,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,7578,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,7579,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7611,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7711,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,7726,1,1,1
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,7877,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,7878,3,1,3
3,,1,,,,,,,,1,1,15,,,,,,,,,,,1,2,,,,,,7949,4,1,4
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,7976,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,8125,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,8142,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,8418,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,8428,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,8463,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,8489,2,1,2
3,,,,1,1,,,,,1,1,6,1,,,,,,,,,,,2,,,,,,8501,2,1,2
2,,,1,,,,,,,1,1,2,,,,,,,,,,,1,2,,,,,,8587,6,1,6
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,8816,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,8857,2,1,2
1,,,,1,,,,,,1,1,1,,,1,,,,,,,,,1,,,1,,,8862,2,1,2
3,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,8903,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8917,2,1,2
9,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,8924,2,1,2
2,,,,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,8984,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,8996,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9346,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,9382,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,9408,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,9461,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9480,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,9538,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9613,3,1,3
2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9647,3,1,3
1,,,,,1,,,,,1,1,6,,,,,,,,,,,1,2,,,,,,9679,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,9682,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9791,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,9800,2,1,2
3,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,9824,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9844,4,1,4
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,9915,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,9940,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9992,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10012,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10023,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10035,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10139,3,1,3
1,1,,,,,,,,,1,1,10,,,,,1,,,,,,,2,,,,,,10145,1,1,1
3,,,,1,1,,,,,1,1,2,,,,,,,,,,,1,2,,,,,,10181,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,10191,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10204,1,1,1
3,1,,,,,,,,,1,1,5,,,,,,,,,,,1,2,,,,,,10258,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,10312,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10315,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10385,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10392,1,1,1
2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10457,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10490,1,1,1
1,,,,,1,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,10492,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10496,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,10570,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,10619,2,1,2
