S_01,S_02_A,S_02_A_01,S_02_B,S_02_B_01,S_02_C,S_02_C_01,S_02_D,S_02_D_01,S_02_E,S_02_E_01,S_02_F,S_02_F_01,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,2,,2,,2,,2,,2,,2,,545,2,1,2
1,2,,2,,2,,2,,2,,2,,546,1,1,1
1,2,,2,,2,,2,,2,,2,,547,2,1,2
1,2,,2,,2,,2,,2,,2,,548,2,1,2
2,,,,,,,,,,,,,550,5,1,5
1,2,,2,,2,,2,,2,,2,,551,2,1,2
2,,,,,,,,,,,,,552,1,1,1
1,2,,2,,2,,2,,2,,2,,553,2,1,2
1,2,,2,,2,,2,,2,,2,,554,2,1,2
1,2,,2,,2,,2,,2,,2,,557,2,1,2
2,,,,,,,,,,,,,559,2,1,2
1,2,,2,,2,,2,,2,,2,,561,2,1,2
2,,,,,,,,,,,,,562,1,1,1
2,,,,,,,,,,,,,564,3,1,3
1,2,,2,,2,,2,,2,,2,,565,2,1,2
1,2,,2,,2,,2,,2,,2,,566,2,1,2
2,,,,,,,,,,,,,567,6,1,6
1,2,,2,,2,,2,,2,,2,,568,2,1,2
1,2,,2,,2,,2,,2,,2,,571,2,1,2
1,1,1,1,3,2,,2,,2,,2,,572,1,1,1
1,2,,2,,2,,2,,2,,2,,573,2,1,2
1,2,,2,,2,,2,,2,,2,,577,1,1,1
1,2,,2,,2,,2,,2,,2,,578,1,1,1
2,,,,,,,,,,,,,580,3,1,3
1,2,,2,,2,,2,,2,,2,,581,1,1,1
1,2,,2,,2,,2,,2,,2,,583,2,1,2
2,,,,,,,,,,,,,584,3,1,3
1,2,,2,,2,,2,,2,,2,,585,1,1,1
1,2,,2,,2,,2,,2,,2,,587,2,1,2
2,,,,,,,,,,,,,588,2,1,2
1,2,,2,,2,,2,,2,,2,,589,2,1,2
2,,,,,,,,,,,,,590,1,1,1
1,2,,2,,2,,2,,2,,2,,592,2,1,2
1,2,,2,,2,,2,,2,,2,,594,1,1,1
1,2,,2,,2,,2,,2,,2,,595,2,1,2
1,2,,2,,2,,2,,2,,2,,597,3,1,3
1,2,,2,,2,,2,,2,,2,,599,2,1,2
1,2,,2,,2,,2,,2,,2,,602,2,1,2
2,,,,,,,,,,,,,603,3,1,3
2,,,,,,,,,,,,,604,4,1,4
1,2,,2,,2,,2,,2,,2,,605,1,1,1
1,2,,2,,2,,2,,2,,2,,606,3,1,3
1,2,,2,,2,,2,,2,,2,,612,2,1,2
1,2,,2,,2,,2,,2,,2,,613,1,1,1
1,2,,2,,2,,2,,2,,2,,614,1,1,1
1,2,,2,,2,,2,,2,,2,,616,2,1,2
1,2,,2,,2,,2,,2,,2,,622,1,1,1
1,2,,2,,2,,2,,2,,2,,623,2,1,2
1,1,3,1,2,2,,2,,2,,2,,624,1,1,1
2,,,,,,,,,,,,,628,1,1,1
2,,,,,,,,,,,,,629,2,1,2
2,,,,,,,,,,,,,630,2,1,2
1,2,,2,,2,,2,,2,,2,,632,4,1,4
1,2,,2,,2,,2,,2,,2,,633,2,1,2
2,,,,,,,,,,,,,635,1,1,1
2,,,,,,,,,,,,,636,2,1,2
1,2,,2,,2,,2,,2,,2,,637,1,1,1
1,2,,2,,2,,2,,2,,2,,641,2,1,2
1,2,,2,,2,,2,,2,,2,,642,1,1,1
2,,,,,,,,,,,,,643,2,1,2
2,,,,,,,,,,,,,644,4,1,4
1,2,,2,,2,,2,,2,,2,,646,1,1,1
1,2,,2,,2,,2,,2,,2,,647,2,1,2
1,2,,2,,2,,2,,2,,2,,649,2,1,2
1,2,,2,,2,,2,,2,,2,,650,2,1,2
1,2,,2,,2,,2,,2,,2,,653,2,1,2
2,,,,,,,,,,,,,658,5,1,5
1,2,,2,,2,,2,,2,,2,,660,2,1,2
2,,,,,,,,,,,,,662,3,1,3
1,2,,2,,2,,2,,2,,2,,663,2,1,2
2,,,,,,,,,,,,,664,1,1,1
2,,,,,,,,,,,,,665,1,1,1
1,2,,2,,2,,2,,2,,2,,668,1,1,1
1,2,,2,,2,,2,,2,,2,,673,1,1,1
1,2,,1,3,2,,2,,2,,2,,674,1,1,1
1,2,,2,,2,,2,,2,,2,,675,2,1,2
1,2,,2,,2,,2,,2,,2,,679,1,1,1
1,2,,2,,2,,2,,2,,2,,680,1,1,1
1,2,,2,,2,,2,,2,,2,,681,2,1,2
1,2,,2,,2,,2,,2,,2,,683,3,1,3
1,2,,2,,2,,2,,2,,2,,685,2,1,2
