P_01,P_02,P_03,P_04,P_05,P_06,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,2,,9825,1,1,1
,,,,2,,9876,2,1,2
2,,,,,,9893,2,1,2
2,,,,,,9915,2,1,2
,,,,2,,9946,1,1,1
,,,,2,,9968,3,1,3
1,2,,,,,9986,2,1,2
,,2,,2,,9999,1,1,1
,,,,2,,10000,2,1,2
,,,,2,,10033,2,1,2
1,1,,,,,10148,2,1,2
,,2,,2,,10235,3,1,3
,,,,2,,10245,4,1,4
,,,,2,,10261,2,1,2
2,,,,,,10297,1,1,1
2,,,,,,10338,2,1,2
,,2,,2,,10381,2,1,2
1,1,,,,,10389,2,1,2
2,,,,,,10482,1,1,1
2,,,,,,10558,2,1,2
,,,,1,2,10570,1,1,1
,,,,2,,10571,1,1,1
2,,,,2,,10585,2,1,2
2,,,,,,10592,2,1,2
,,2,,,,10627,1,1,1
2,,,,,,10628,3,1,3
,,,,2,,10682,1,1,1
2,,,,,,10746,1,1,1
,,,,2,,10756,3,1,3
,,,,2,,10816,1,1,1
1,2,,,,,10849,1,1,1
2,,,,,,10936,2,1,2
,,,,2,,10959,1,1,1
2,,,,,,11137,3,1,3
2,,,,,,11159,1,1,1
2,,,,,,11208,1,1,1
1,2,,,,,11269,3,1,3
,,,,2,,11304,2,1,2
,,,,2,,11389,1,1,1
,,,,1,2,11472,3,1,3
2,,,,,,11500,2,1,2
,,2,,2,,11621,5,1,5
,,1,2,,,11650,5,1,5
,,,,2,,11666,1,1,1
,,2,,,,11706,4,1,4
,,,,2,,11709,1,1,1
2,,,,2,,11785,4,1,4
,,2,,2,,11803,2,1,2
,,2,,2,,11891,1,1,1
,,2,,,,11893,1,1,1
,,,,1,2,11894,1,1,1
,,,,2,,12031,2,1,2
,,,,2,,12049,1,1,1
,,,,2,,12096,2,1,2
,,,,1,2,12124,1,1,1
,,,,2,,12144,2,1,2
,,,,2,,12161,1,1,1
,,,,2,,12182,1,1,1
,,,,2,,12186,4,1,4
,,,,2,,12198,1,1,1
,,,,2,,12199,2,1,2
,,,,2,,12309,2,1,2
,,,,2,,12365,2,1,2
,,,,2,,12372,1,1,1
,,,,2,,12390,1,1,1
,,,,2,,12428,1,1,1
,,,,2,,12435,3,1,3
1,1,,,,,12447,2,1,2
,,,,2,,12451,2,1,2
,,,,2,,12492,1,1,1
,,2,,,,12493,2,1,2
,,,,2,,12519,3,1,3
,,,,1,1,12529,2,1,2
2,,,,,,12542,1,1,1
,,,,2,,12641,1,1,1
1,1,,,,,12671,2,1,2
,,,,2,,12695,2,1,2
,,,,1,2,12794,1,1,1
2,,,,,,12851,1,1,1
