R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08_A,R_08_B,R_08_C,R_08_D,R_09,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,0,,1,1,1,9,2,9,9,2,347,2,1,2
2,,0,,2,2,2,9,9,9,9,2,353,2,1,2
1,2,0,,1,1,1,9,2,9,9,2,354,3,1,3
2,,0,,2,2,9,9,2,9,9,9,357,3,1,3
2,,2,2,2,2,2,1,9,9,9,2,358,2,1,2
2,,0,,2,2,2,9,1,9,9,2,361,1,1,1
2,,0,,2,1,2,9,2,9,9,9,362,1,1,1
2,,0,,1,1,1,2,2,9,9,2,363,1,1,1
2,,0,,2,2,2,9,9,9,9,2,365,1,1,1
2,,0,,2,2,2,9,9,9,9,2,370,2,1,2
2,,0,,2,2,2,9,9,9,9,2,372,2,1,2
2,,0,,2,2,2,9,1,9,9,2,373,1,1,1
2,,1,2,2,1,2,2,2,9,9,2,374,4,1,4
2,,0,,1,1,9,9,9,9,9,2,378,1,1,1
2,,0,,1,2,2,9,9,9,9,2,380,1,1,1
2,,0,,9,2,2,9,9,9,9,2,382,1,1,1
2,,0,,1,1,2,9,9,9,9,2,385,1,1,1
2,,0,,1,1,9,9,2,9,9,9,391,1,1,1
2,,0,,1,1,9,9,9,9,9,2,392,4,1,4
2,,0,,1,1,1,9,1,9,9,2,393,2,1,2
2,,0,,2,2,2,9,9,9,9,2,395,1,1,1
2,,0,,2,2,2,9,9,9,9,2,396,2,1,2
2,,10,2,2,2,2,9,9,9,9,2,397,1,1,1
1,2,20,2,1,1,2,9,2,9,9,2,399,2,1,2
2,,0,,2,2,2,9,2,9,9,2,400,1,1,1
2,,0,,1,1,1,9,9,9,9,2,402,1,1,1
2,,1,2,2,1,1,9,2,9,9,2,404,4,1,4
2,,0,,1,1,2,9,2,9,9,2,407,2,1,2
2,,0,,2,2,2,9,2,9,9,2,408,2,1,2
2,,0,,2,2,2,9,2,9,9,2,410,1,1,1
2,,0,,2,2,2,2,2,9,9,2,415,1,1,1
2,,0,,1,2,1,9,9,9,9,9,417,1,1,1
