K_01_A,K_01_B,K_01_C,K_01_D,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_09_VALOR,K_09_TEXTO,K_10_A,K_10_B,K_10_C,K_10_D,K_10_E,K_10_F,K_10_G,K_10_H,K_10_I,K_11,K_11_A,K_11_B,K_11_C,K_11_D,K_11_E,K_12_A,K_12_B,K_12_C,K_12_D,K_12_E,K_12_F,K_12_G,K_12_H,K_12_I,K_12_J,K_12_K,K_12_L,K_12_M,K_12_N,K_12_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34285,3,1,3
1,1,,,3,1,4,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34310,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34338,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34357,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34377,3,1,3
,1,,,3,1,2,2,,,2,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,34387,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34393,1,1,1
1,,,,3,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34416,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34417,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34424,2,1,2
,1,,,3,1,5,1,30,150000,1,1,3000,TRES MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34433,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34443,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34483,2,1,2
1,,,,3,1,2,2,,,6,1,2000,DOS MIL PESOS,,,,1,,,,,,1,1,,,,,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,34485,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34489,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34535,2,1,2
,1,,,3,1,3,1,1,3000,1,1,3000,TRES MIL PESOS,,,1,1,,,1,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34548,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34550,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34555,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34559,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34561,5,1,5
1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34562,3,1,3
,1,,,1,1,4,1,99,20000,2,1,2000,DOS MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34583,1,1,1
1,1,1,,3,1,5,1,30,35000,30,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,34598,2,1,2
1,1,,,3,1,5,1,30,30000,10,1,2000,treinta mil pesos,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34603,2,1,2
1,1,,,1,1,5,1,30,30000,4,1,1000,MIL,,,,1,,,,,,1,1,1,,,,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,34613,1,1,1
,1,,,3,1,2,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34624,3,1,3
,1,,,3,1,4,1,3,5000,3,1,2500,DOS MIL QUINIENTOS PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,34630,2,1,2
,1,,,3,1,5,1,30,60000,30,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,34654,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34661,1,1,1
1,1,1,,3,1,2,2,,,1,2,,,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34679,2,1,2
,1,,,3,1,5,1,30,300000,100,1,2000,DOS MIL PESOS,,,,,1,,,,,2,,,,,,2,2,2,1,2,1,1,1,2,2,1,1,2,2,1,34682,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34688,4,1,4
,1,,,3,1,5,1,30,30000,30,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,34691,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34693,2,1,2
1,1,,,3,1,4,1,4,15000,4,1,3000,TRES MIL PESOS,,,1,1,1,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34697,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34700,1,1,1
,1,,,3,1,2,2,,,1,2,,,,,,,,1,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,34713,1,1,1
,1,1,,3,1,5,1,30,40000,30,1,5000,CINCO MIL,,,,,1,,,,,2,,,,,,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,34718,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34739,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34744,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34745,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34771,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34778,1,1,1
,1,,,3,1,5,1,30,30000,30,1,1000,MIL PESOS,,,,,,1,,,,2,,,,,,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,34781,3,1,3
1,,,,3,1,3,1,1,20000,2,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34787,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34805,3,1,3
,,,1,3,1,1,2,,,1,2,,,,,,,,1,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34814,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34878,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34887,3,1,3
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34903,1,1,1
1,,,,3,1,4,1,20,60000,40,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,34912,6,1,6
1,1,,,9,1,3,2,,,3,1,4000,CUATRO MIL PESOS,,,,1,,1,1,,,1,1,,,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,34916,1,1,1
,1,,,3,1,2,2,,,5,1,5000,CINCO MIL PESOS,,,1,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,34962,1,1,1
1,,,,3,1,3,1,99,30000,15,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34997,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35020,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35029,3,1,3
1,1,,,3,1,4,2,,,17,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,35035,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35041,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35056,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35077,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35102,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35112,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35119,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35134,2,1,2
1,1,,,3,1,4,1,10,20000,20,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,35160,1,1,1
1,1,,,3,1,3,1,5,22000,2,1,6000,SEIS MIL,,,1,,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35162,5,1,5
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35169,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35170,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35239,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35251,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35272,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35325,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35347,1,1,1
1,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35407,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35409,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35425,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35433,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35452,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35465,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35514,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35589,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35598,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35604,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35608,1,1,1
1,,,,3,1,2,2,,,4,1,10000,DIEZ MIL PESOS UN MOÑO,,,,1,,,,,,2,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,35617,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35629,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35635,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35640,1,1,1
1,,,,2,1,1,2,,,1,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35657,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35671,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35696,1,1,1
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35703,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35733,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35762,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35809,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35819,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35841,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35847,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35853,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35879,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35928,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35937,1,1,1
1,,,,2,1,3,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35947,2,1,2
,1,,,1,1,3,1,10,30000,10,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,35996,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36015,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36017,5,1,5
1,,,,3,1,2,1,1,2000,1,1,2000,DOS MIL PESOS,,,1,1,,1,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36018,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36038,6,1,6
,1,,,3,1,2,1,20,10000,20,1,4000,CUATRO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,36041,2,1,2
,1,,,3,1,2,1,2,1000,1,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36078,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36091,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36094,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36100,1,1,1
1,1,,,3,1,5,1,20,15000,15,1,1000,MIL PESOS,,,,,,,,,1,1,1,,,,,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,36103,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36112,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36128,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36138,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36146,3,1,3
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36148,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36151,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36156,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36167,1,1,1
1,1,,1,3,1,5,1,30,20000,2,1,500,QUINIENTOS,,,,1,,,,,,1,1,1,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36182,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36185,1,1,1
1,,,,3,1,5,1,30,40000,60,1,2000,DOS MIL PESOS,,,,,,1,,,,2,,,,,,2,2,2,1,2,2,2,2,1,2,1,2,2,1,1,36274,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36275,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36315,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36332,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36340,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36346,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36376,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36391,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36397,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36431,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36432,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36456,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36510,1,1,1
1,1,1,1,3,1,4,1,4,8000,5,1,1000,MIL PESOS MCTE,,,1,,,,,,,1,1,,,,,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,36513,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36530,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36536,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36590,4,1,4
,1,,,3,1,3,1,3,10000,4,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36676,1,1,1
,1,,,3,1,4,1,5,30000,15,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36720,3,1,3
,1,,,3,1,1,2,,,2,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36760,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36784,4,1,4
1,1,1,,3,1,5,1,30,100000,5,1,2000,DOS MIL PESOS,,,,,,,,,1,1,1,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,36795,4,1,4
1,1,1,,3,1,5,1,30,200000,60,1,2000,DOS MIL PESOS,,,,1,1,,,,,1,1,,,,,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,36822,2,1,2
,,,1,3,1,3,2,,,99,2,,,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,36830,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36843,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36854,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36925,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36929,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36935,3,1,3
,1,,,3,1,3,2,,,3,1,4000,CUATRO MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37014,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37018,9,1,9
1,1,1,,3,1,2,2,,,1,1,5000,cinco mil,,,,1,,,,,,1,1,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,37025,1,1,1
1,,,,2,1,1,2,,,10,1,5000,CINCO MIL,,,,1,,,,,,2,,,,,,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,37028,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37043,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37057,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37060,1,1,1
1,1,1,,3,1,5,1,30,100000,30,2,,,,,1,,,,,,,1,1,,,,,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,37070,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37074,2,1,2
1,1,1,1,3,1,5,1,30,200000,35,1,4000,CUATRO MIL PESOS,,,,1,,1,,,,2,,,,,,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,37090,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37108,5,1,5
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37146,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37161,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37171,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37177,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37182,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37200,1,1,1
,1,,,3,1,5,1,30,60000,60,1,2000,DOS MIL PESOS,,,,1,,,,,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37201,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37212,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37217,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37239,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37243,2,1,2
,1,,,3,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37251,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37264,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37290,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37328,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37331,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37332,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37350,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37354,3,1,3
1,1,1,,3,1,1,2,,,1,1,3000,TRES MIL PESOS,1,,1,1,,1,1,,,2,,,,,,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,37359,3,1,3
1,1,,,3,1,5,1,30,98,60,1,1000,MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,37361,3,1,3
1,,,,3,1,5,1,30,80000,40,1,2000,DOS MIL PESOS,,,1,1,,1,,,,2,,,,,,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,37366,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37378,1,1,1
1,,,,3,1,5,1,30,120000,60,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,37382,3,1,3
1,,,,3,1,1,2,,,1,1,4000,CUATRO MIL,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37391,2,1,2
,1,,,3,1,4,1,7,20000,5,1,4000,CUATRO MIL PESOS,,,,,,1,,,,2,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,37396,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37409,4,1,4
,1,1,1,3,1,5,1,30,60000,60,1,4000,CUATRO MIL PESOS,,,1,1,,1,,,,2,,,,,,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,37428,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37440,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37457,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37462,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37492,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37542,3,1,3
,1,,,2,1,9,2,,,1,1,7000,SIETEMIL PESOS,,,1,,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37556,3,1,3
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37570,5,1,5
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37573,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37610,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37659,5,1,5
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37671,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37678,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37709,2,1,2
