K_01_A,K_01_B,K_01_C,K_01_D,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_09_VALOR,K_09_TEXTO,K_10_A,K_10_B,K_10_C,K_10_D,K_10_E,K_10_F,K_10_G,K_10_H,K_10_I,K_11,K_11_A,K_11_B,K_11_C,K_11_D,K_11_E,K_12_A,K_12_B,K_12_C,K_12_D,K_12_E,K_12_F,K_12_G,K_12_H,K_12_I,K_12_J,K_12_K,K_12_L,K_12_M,K_12_N,K_12_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,1,1,,3,1,3,1,1,2000,2,1,2000,DOS MIL PESOS,,,,,,,,,1,1,1,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1503,2,1,2
1,1,1,,9,1,5,1,30,30000,150,1,1000,MIL PESOS,,,1,,,,,,,2,,,,,,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1535,3,1,3
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736,1,1,1
1,1,1,,3,1,5,2,,,150,1,1000,MIL PESOS,,,1,,,,,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1742,7,1,7
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765,4,1,4
1,,,,2,1,2,1,2,1000,2,1,1000,MIL PESOS,,,,,,,1,,,2,,,,,,1,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1779,2,1,2
,1,,,3,1,3,1,3,20000,3,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1794,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,1,1,1
,1,,,3,1,4,1,4,2000,1,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1825,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839,2,1,2
,1,,,3,1,4,1,5,3000,4,1,1000,MIL PESOS,,,1,,,1,,,,2,,,,,,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1859,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,1,1,1
,1,,,3,1,3,2,,,3,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1953,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,3,1,3
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,2,1,2
1,1,,,1,1,5,1,30,90000,30,1,3000,TRES MIL,,,1,,,,,,,1,1,,,,,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2081,1,1,1
,1,,,2,1,4,2,,,5,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,,,,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2098,7,1,7
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119,1,1,1
,1,,,3,1,2,1,30,80000,12,1,6000,seis mil pesos,,,1,,,,,,,2,,,,,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2121,8,1,8
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2151,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173,2,1,2
1,,,,1,1,9,9,,,4,2,,,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2179,1,1,1
,1,,,3,1,1,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2189,2,1,2
1,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2218,3,1,3
1,,,,2,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2237,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2267,2,1,2
