Q_01_A,Q_01_B,Q_01_C,Q_01_D,Q_02,Q_03,Q_04,Q_05_A,Q_05_B,Q_05_C,Q_05_D,Q_05_E,Q_05_F,Q_05_G,Q_05_H,Q_05_I,Q_05_J,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,Q_01_E
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,469,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,470,2,1,2,
,,,2,2,,,1,1,1,1,2,1,1,2,1,2,471,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,473,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,3,1,477,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,482,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,486,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,488,2,1,2,
,,,2,9,,,1,1,1,1,1,1,1,2,1,2,489,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,493,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,499,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,1,2,500,1,1,1,
,1,,,2,,,1,1,1,1,1,1,1,1,1,2,502,1,1,1,
,1,,,2,,,4,1,1,4,4,1,1,1,1,2,506,3,1,3,
,,,2,2,,,1,2,1,1,1,1,1,1,1,1,508,1,1,1,
,,,2,2,,,2,1,1,2,3,1,1,1,2,2,509,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,510,3,1,3,
,,,2,2,,,1,1,1,1,2,1,2,2,2,4,511,1,1,1,
,,,2,2,,,3,1,1,1,3,1,1,3,1,3,512,1,1,1,
,,,2,2,,,1,1,1,1,2,1,1,2,1,1,513,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,514,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,516,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,2,1,1,517,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,518,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,519,1,1,1,
,,,2,2,,,1,1,1,1,3,1,1,2,1,1,520,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,521,2,1,2,
,,,2,9,,,1,1,1,3,1,1,1,1,1,2,522,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,528,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,2,529,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,530,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,533,3,1,3,
,,,2,2,,,1,1,3,3,2,1,1,1,1,1,535,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,539,1,1,1,
,,,2,2,,,1,1,1,1,2,1,1,2,1,4,540,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,2,541,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,542,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,543,2,1,2,
,1,,,1,4,,3,1,1,3,3,2,1,1,1,3,544,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,545,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,546,1,1,1,
,,,2,2,,,4,1,1,1,1,2,1,1,1,1,550,5,1,5,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,551,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,552,1,1,1,
1,,,,2,,,1,1,1,1,1,1,1,1,1,1,555,3,1,3,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,557,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,559,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,562,1,1,1,
,,,2,2,,,4,1,1,1,1,1,1,4,1,3,563,3,1,3,
