E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,,,,,,,,2,,,372,2,1,2
2,,,,,,,,,2,,,373,1,1,1
1,23,3,1,2,,,,,2,,,374,4,1,4
2,,,,,,,,,2,,,375,1,1,1
2,,,,,,,,,2,,,376,3,1,3
2,,,,,,,,,2,,,377,1,1,1
2,,,,,,,,,2,,,378,1,1,1
2,,,,,,,,,2,,,379,4,1,4
2,,,,,,,,,2,,,380,1,1,1
2,,,,,,,,,2,,,381,2,1,2
2,,,,,,,,,2,,,382,1,1,1
2,,,,,,,,,2,,,384,1,1,1
2,,,,,,,,,2,,,385,1,1,1
2,,,,,,,,,2,,,388,3,1,3
2,,,,,,,,,2,,,389,3,1,3
1,18,3,1,1,30,1,1,3,1,23,2,390,3,1,3
2,,,,,,,,,2,,,391,1,1,1
2,,,,,,,,,2,,,392,4,1,4
2,,,,,,,,,2,,,393,2,1,2
2,,,,,,,,,2,,,394,2,1,2
2,,,,,,,,,2,,,395,1,1,1
2,,,,,,,,,2,,,396,2,1,2
1,17,3,2,,,,,,2,,,397,1,1,1
2,,,,,,,,,2,,,398,2,1,2
2,,,,,,,,,2,,,399,2,1,2
1,16,3,2,,,,,,2,,,400,1,1,1
2,,,,,,,,,2,,,401,3,1,3
1,18,3,2,,,,,,2,,,402,1,1,1
2,,,,,,,,,2,,,403,2,1,2
1,19,3,2,,,,,,2,,,404,4,1,4
2,,,,,,,,,2,,,405,3,1,3
2,,,,,,,,,2,,,406,2,1,2
2,,,,,,,,,2,,,407,2,1,2
2,,,,,,,,,2,,,408,2,1,2
2,,,,,,,,,2,,,410,1,1,1
2,,,,,,,,,2,,,411,2,1,2
2,,,,,,,,,2,,,412,1,1,1
2,,,,,,,,,2,,,414,3,1,3
1,17,3,1,1,30,1,1,60,2,,,415,1,1,1
2,,,,,,,,,2,,,416,2,1,2
2,,,,,,,,,2,,,417,1,1,1
2,,,,,,,,,2,,,418,1,1,1
1,17,3,2,,,,,,1,50,2,419,2,1,2
1,16,3,2,,,,,,1,22,2,420,3,1,3
2,,,,,,,,,2,,,421,1,1,1
2,,,,,,,,,2,,,422,2,1,2
2,,,,,,,,,2,,,423,2,1,2
2,,,,,,,,,2,,,424,3,1,3
1,21,3,2,,,,,,2,,,425,1,1,1
2,,,,,,,,,2,,,426,2,1,2
2,,,,,,,,,2,,,427,1,1,1
2,,,,,,,,,2,,,429,3,1,3
2,,,,,,,,,2,,,430,3,1,3
2,,,,,,,,,2,,,431,2,1,2
2,,,,,,,,,2,,,432,3,1,3
2,,,,,,,,,2,,,433,1,1,1
1,24,3,1,1,2,1,2,,2,,,434,2,1,2
2,,,,,,,,,2,,,435,1,1,1
1,18,3,2,,,,,,2,,,436,1,1,1
2,,,,,,,,,2,,,437,3,1,3
2,,,,,,,,,2,,,438,2,1,2
2,,,,,,,,,2,,,439,2,1,2
2,,,,,,,,,2,,,440,3,1,3
2,,,,,,,,,2,,,441,1,1,1
2,,,,,,,,,2,,,442,1,1,1
2,,,,,,,,,2,,,443,2,1,2
1,25,3,1,1,12,1,2,,2,,,444,1,1,1
2,,,,,,,,,2,,,445,1,1,1
1,20,3,2,,,,,,2,,,446,1,1,1
1,14,3,2,,,,,,2,,,448,3,1,3
2,,,,,,,,,2,,,449,1,1,1
2,,,,,,,,,2,,,450,1,1,1
1,7,3,2,,,,,,2,,,451,1,1,1
2,,,,,,,,,2,,,452,1,1,1
2,,,,,,,,,2,,,453,1,1,1
2,,,,,,,,,2,,,454,2,1,2
1,15,3,1,1,30,1,1,10,2,,,456,1,1,1
2,,,,,,,,,2,,,457,4,1,4
2,,,,,,,,,2,,,458,1,1,1
2,,,,,,,,,2,,,460,1,1,1
2,,,,,,,,,2,,,461,4,1,4
2,,,,,,,,,2,,,462,2,1,2
2,,,,,,,,,2,,,463,2,1,2
2,,,,,,,,,2,,,464,1,1,1
1,20,3,2,,,,,,2,,,465,2,1,2
1,24,3,2,,,,,,2,,,466,1,1,1
2,,,,,,,,,2,,,467,2,1,2
1,15,3,2,,,,,,2,,,468,4,1,4
1,15,3,2,,,,,,2,,,469,1,1,1
2,,,,,,,,,2,,,470,2,1,2
