D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
9,6,0,7,705,1,1,260,1,1,1
9,6,0,8,801,1,2,262,1,1,1
9,5,2,5,511,1,2,263,1,1,1
9,6,3,7,705,1,2,264,1,1,1
1,2,4,6,601,1,1,265,1,1,1
9,6,0,5,511,1,1,266,1,1,1
9,5,0,8,803,1,2,267,1,1,1
9,1,2,6,603,1,2,268,2,1,2
9,3,3,7,705,1,2,269,2,1,2
9,6,0,5,511,1,1,270,1,1,1
9,2,0,4,409,1,2,271,2,1,2
9,6,0,7,701,,,272,4,1,4
9,6,1,6,601,1,2,273,2,1,2
1,6,0,6,600,1,2,274,1,1,1
5,1,1,5,511,1,2,275,2,1,2
9,6,0,5,510,1,2,277,3,1,3
9,2,1,5,511,1,2,278,2,1,2
1,5,2,4,408,1,1,279,1,1,1
9,3,3,3,300,1,1,280,2,1,2
5,2,6,6,602,1,1,283,1,1,1
1,2,1,6,602,1,1,284,1,1,1
9,2,6,4,409,1,1,286,1,1,1
9,3,0,7,705,1,2,287,2,1,2
5,6,0,3,305,,,288,3,1,3
9,3,3,5,510,1,2,289,2,1,2
9,6,1,7,703,1,1,290,1,1,1
9,6,0,3,300,,,291,3,1,3
9,5,3,5,511,1,2,292,1,1,1
9,3,3,7,705,1,2,293,2,1,2
9,6,0,5,510,1,2,295,2,1,2
9,6,0,7,705,1,2,297,3,1,3
9,2,3,7,705,1,1,298,1,1,1
9,5,4,5,511,1,2,299,1,1,1
9,2,0,7,705,1,1,300,1,1,1
5,2,1,6,602,1,2,304,2,1,2
9,6,0,7,702,1,1,305,1,1,1
5,4,1,3,305,3,2,306,2,1,2
9,6,0,7,704,1,2,307,5,1,5
9,3,2,7,705,1,1,308,1,1,1
5,6,3,7,705,1,1,309,1,1,1
9,4,0,6,601,1,2,310,1,1,1
9,3,3,5,511,1,1,311,1,1,1
9,6,3,5,511,1,2,313,2,1,2
9,6,0,8,804,1,1,315,3,1,3
1,4,1,5,511,1,2,316,1,1,1
9,6,1,4,407,1,2,317,6,1,6
9,6,0,5,510,1,1,318,6,1,6
1,3,2,8,802,1,2,319,1,1,1
1,4,3,7,707,1,2,320,1,1,1
9,6,0,6,602,1,1,321,2,1,2
9,6,0,7,705,1,1,322,3,1,3
5,6,0,7,705,1,2,323,3,1,3
5,3,3,3,305,1,2,325,1,1,1
9,3,1,5,511,1,2,327,2,1,2
9,5,2,5,511,1,1,328,1,1,1
9,3,1,3,300,1,2,329,2,1,2
5,3,4,3,305,3,2,330,1,1,1
9,6,0,6,604,1,2,331,3,1,3
9,5,3,5,511,1,2,332,1,1,1
9,6,0,4,406,,,333,3,1,3
9,1,1,6,601,1,2,334,1,1,1
9,2,2,5,511,1,2,335,2,1,2
5,6,1,3,305,1,2,336,1,1,1
9,5,1,4,406,1,2,337,4,1,4
9,6,0,6,602,1,2,338,2,1,2
5,6,1,5,511,1,2,339,3,1,3
9,5,1,5,511,1,1,340,2,1,2
9,5,1,3,305,1,2,343,3,1,3
1,3,3,5,511,1,2,344,2,1,2
5,3,3,6,602,1,1,345,1,1,1
9,6,0,7,705,1,1,346,1,1,1
1,3,2,8,802,1,2,347,2,1,2
9,6,0,7,703,1,1,348,3,1,3
9,3,2,5,511,1,2,349,2,1,2
9,2,2,6,602,1,2,350,2,1,2
9,6,0,7,709,1,2,351,1,1,1
1,3,2,3,305,1,1,352,1,1,1
9,3,2,7,705,1,2,353,2,1,2
9,6,0,7,704,1,2,354,3,1,3
9,6,2,6,601,1,2,356,1,1,1
5,6,0,5,511,1,1,357,3,1,3
9,6,0,4,406,1,1,358,2,1,2
9,4,3,7,702,1,1,359,1,1,1
9,6,0,5,510,,,360,4,1,4
9,2,3,3,305,1,1,361,1,1,1
5,4,6,7,705,1,1,362,1,1,1
5,6,1,8,801,1,2,363,1,1,1
9,2,5,5,510,1,1,364,1,1,1
5,4,2,6,602,1,2,365,1,1,1
5,2,2,6,606,1,2,366,2,1,2
9,3,2,7,705,1,2,367,2,1,2
5,6,0,5,513,1,1,368,2,1,2
9,6,0,4,408,,,369,2,1,2
9,2,1,5,511,1,1,370,2,1,2
9,3,1,5,511,1,2,372,2,1,2
9,3,3,3,305,1,1,373,1,1,1
9,5,3,6,601,1,2,374,4,1,4
9,2,1,5,511,1,2,375,1,1,1
9,6,1,7,704,1,2,376,3,1,3
9,5,4,4,408,1,2,377,1,1,1
9,5,3,7,705,1,2,378,1,1,1
9,5,1,5,511,1,2,379,4,1,4
9,3,2,3,302,1,1,380,1,1,1
9,2,3,6,603,1,2,381,2,1,2
9,4,11,1,100,1,2,382,1,1,1
