Depmuni,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,ESTADO_ENCUESTA,RECO_DIC
47189,2,1,2,4,212,1,1,1,,0
23162,1,1,2,4,213,1,1,1,,0
95001,2,1,1,4,214,1,1,1,,0
18001,1,1,4,4,215,1,1,1,,0
81001,3,1,1,1,216,1,1,1,,0
47001,2,1,3,5,217,1,1,1,,0
27001,1,1,1,2,218,1,1,1,,0
95001,2,1,2,2,219,1,1,1,,0
47001,1,1,1,3,220,1,1,1,,0
18001,1,1,2,4,221,1,1,1,,0
47189,1,1,3,5,222,1,1,1,,0
18001,1,1,4,3,223,1,1,1,,0
95001,2,1,9,4,224,1,1,1,,0
20001,2,1,2,10,225,1,1,1,,0
85001,1,1,2,2,226,1,1,1,,0
47001,1,1,3,9,227,1,1,1,,0
95001,1,1,1,4,228,1,1,1,,0
18001,1,1,3,4,229,1,1,1,,0
95001,1,1,1,5,230,1,1,1,,0
20001,2,1,2,1,231,1,1,1,,0
20001,1,1,2,7,232,1,1,1,,0
52001,2,1,2,2,233,1,1,1,,0
85001,2,1,2,4,234,1,1,1,,0
18001,1,1,4,1,235,1,1,1,,0
47001,1,1,1,4,236,1,1,1,,0
18001,1,1,3,2,237,1,1,1,,0
95001,1,1,1,6,238,1,1,1,,0
47001,1,1,3,6,239,1,1,1,,0
70215,2,1,1,2,241,1,1,1,,0
18001,1,1,4,4,242,1,1,1,,0
47001,1,1,1,5,243,1,1,1,,0
18001,1,1,2,2,245,1,1,1,,0
20001,2,1,2,3,246,1,1,1,,0
95001,1,1,2,3,247,1,1,1,,0
95001,3,1,1,1,249,1,1,1,,0
20001,2,1,2,3,250,1,1,1,,0
95001,3,1,1,1,252,1,1,1,,0
95001,2,1,2,4,253,1,1,1,,0
47001,1,1,1,3,254,1,1,1,,0
47001,1,1,3,6,255,1,1,1,,0
95001,2,1,1,1,256,1,1,1,,0
95001,1,1,1,4,257,1,1,1,,0
47001,1,1,3,7,258,1,1,1,,0
73001,2,1,3,3,259,1,1,1,,0
73001,2,1,2,1,260,1,1,1,,0
73001,1,1,3,5,262,1,1,1,,0
44001,1,1,1,4,263,1,1,1,,0
18001,1,1,4,4,264,1,1,1,,0
47001,2,1,3,4,265,1,1,1,,0
95001,3,1,2,1,266,1,1,1,,0
15001,2,1,4,1,267,1,1,1,,0
73001,2,1,3,4,268,1,1,1,,0
08001,1,1,4,4,269,1,1,1,,0
95001,1,1,1,1,270,1,1,1,,0
47001,1,1,1,2,271,1,1,1,,0
70215,1,1,1,4,272,1,1,1,,0
20001,2,1,2,6,273,1,1,1,,0
85001,1,1,1,2,274,1,1,1,,0
47001,1,1,3,4,275,1,1,1,,0
15759,1,1,2,5,277,1,1,1,,0
73001,1,1,3,2,278,1,1,1,,0
95001,3,1,2,2,279,1,1,1,,0
15759,1,1,2,2,280,1,1,1,,0
27001,1,1,1,5,283,1,1,1,,0
20001,1,1,2,4,284,1,1,1,,0
44001,1,1,1,3,286,1,1,1,,0
15001,2,1,3,2,287,1,1,1,,0
70215,1,1,1,7,288,1,1,1,,0
15759,1,1,2,2,289,1,1,1,,0
95001,3,1,2,1,290,1,1,1,,0
15759,2,1,2,4,291,1,1,1,,0
73001,2,1,3,3,292,1,1,1,,0
08001,1,1,4,5,293,1,1,1,,0
85001,2,1,2,3,295,1,1,1,,0
73001,1,1,3,3,297,1,1,1,,0
73001,2,1,2,5,298,1,1,1,,0
18001,2,1,4,1,299,1,1,1,,0
15001,2,1,3,1,300,1,1,1,,0
20001,2,1,2,4,304,1,1,1,,0
15001,2,1,3,1,305,1,1,1,,0
27001,1,1,1,2,306,1,1,1,,0
08001,1,1,4,6,307,1,1,1,,0
70001,1,1,3,4,308,1,1,1,,0
73001,2,1,3,1,309,1,1,1,,0
15759,2,1,2,1,310,1,1,1,,0
50001,2,1,3,4,311,1,1,1,,0
81001,1,1,1,6,313,1,1,1,,0
18001,1,1,3,3,315,1,1,1,,0
70215,1,1,1,3,316,1,1,1,,0
81001,1,1,1,12,317,1,1,1,,0
15759,2,1,2,6,318,1,1,1,,0
44001,1,1,2,4,319,1,1,1,,0
44001,1,1,1,2,320,1,1,1,,0
70001,1,1,3,2,321,1,1,1,,0
08001,1,1,4,3,322,1,1,1,,0
20001,1,1,2,5,323,1,1,1,,0
70215,1,1,1,5,325,1,1,1,,0
73001,1,1,3,4,327,1,1,1,,0
81001,1,1,1,3,328,1,1,1,,0
