J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,,,,,,,,,,,,,,,,,,,,2,,58187,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58200,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58274,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58307,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58354,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58380,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,58382,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58384,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58398,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58408,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58451,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58468,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,58507,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,58522,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,58555,2,1,2
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,58586,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58734,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58809,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58840,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,1,1,58853,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,58873,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,58885,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58919,4,1,4
,,,,,,,,,,,,,,,,,,,3,1,2,1,1,1,58988,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,1,1,59017,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59061,3,1,3
3,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,59100,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,59233,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,2,,59236,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,59250,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,59316,3,1,3
2,1,2,2,1,,,,,,,,1,,,,,,,,,,,1,1,59429,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,59446,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,,,59499,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59508,1,1,1
,,,,,,,,,,,,,,,,,,,3,1,2,2,1,2,59570,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,59577,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,59629,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,59652,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,59661,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,59694,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59741,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,9,,59765,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,59777,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,59804,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59817,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,9,,59835,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,59941,2,1,2
