J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,,,,,,,,,,,,,,,,,,,,2,,11534,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,11621,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,1,2,11676,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,11709,1,1,1
,,,,,,,,,,,,,,,,,,,2,2,,,2,,11785,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,1,11803,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,11839,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,11869,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,11893,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,11966,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,9,,12005,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,12021,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,12096,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,12150,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,12158,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,12215,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,12440,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,1,12585,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,12628,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,12639,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,1,12709,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,,,12868,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,12889,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,12907,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,12944,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,13000,2,1,2
,,,,,,,,,,,,,,,,,,,2,1,1,2,2,,13002,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,13049,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,13092,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,2,13142,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,13170,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,1,2,13184,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,13286,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,13344,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,13407,2,1,2
2,1,4,1,,,1,,,,,,1,,,,,,,,,,,1,1,13522,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,13737,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,13868,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,13953,8,1,8
,,,,,,,,,,,,,,,,,,,3,2,,,2,,13977,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,14007,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,14039,4,1,4
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,14137,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,,,14159,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,1,1,14281,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,9,,14320,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,2,,14327,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,14348,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,,,14395,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,,,14527,2,1,2
3,2,,,,,,,,,,,,,,,,,,3,2,,,,,14591,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,14602,3,1,3
,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,14740,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,15021,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,15037,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,15069,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,15155,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,15160,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,15256,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,15289,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,2,,15318,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,15341,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,15362,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,15587,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,9,,15593,3,1,3
